Word	Score
shite	31076
error	31076
mesto	31073
strad	31072
sizer	31069
starn	31069
spile	31067
hoast	31062
servo	31061
basto	31058
torta	31042
minse	31042
goest	31037
fiere	31035
penne	31032
purse	31030
harem	31030
muser	31029
alert	31028
paipe	31026
moner	31025
antre	31021
stern	31020
lemel	31016
youse	31013
regar	31010
karat	31009
tarot	31008
crane	31008
smile	31007
tasty	31004
speir	31003
saddo	31001
rosit	30998
abore	30995
parge	30989
slice	30989
elder	30978
akela	30978
enema	30976
doter	30975
stain	30975
koala	30972
natal	30964
sopor	30963
shama	30956
lyssa	30955
regle	30955
direr	30954
rebar	30954
torsi	30953
suber	30952
wooer	30949
alure	30948
segol	30946
genet	30946
cadre	30945
poyse	30939
artal	30937
grise	30937
house	30933
stein	30926
aroma	30926
trape	30920
taver	30915
hevea	30915
betel	30911
wiser	30909
ratio	30908
garde	30907
slant	30906
dearn	30903
estro	30900
stary	30900
rouen	30898
noema	30897
thrae	30895
reoil	30894
surge	30893
altar	30890
adage	30886
snide	30885
basha	30883
ostia	30880
sithe	30876
sixer	30873
ceaze	30872
hawse	30868
tolar	30866
agast	30865
waite	30865
loral	30865
roger	30863
psora	30859
shoat	30856
scapa	30855
borel	30851
cadie	30851
inset	30847
weeke	30844
rakia	30843
perce	30842
hosta	30842
lacey	30841
jaleo	30834
paedo	30833
targa	30831
tread	30831
tansy	30830
earth	30830
matai	30827
toran	30826
corey	30823
keema	30819
green	30817
rekey	30816
belar	30815
softa	30814
entre	30810
faine	30807
rober	30807
copse	30805
tarka	30804
snary	30803
daker	30799
mamie	30792
palla	30791
stoke	30791
gamer	30790
frere	30789
amole	30789
spuer	30788
marge	30788
oilet	30784
peery	30781
spine	30781
ensew	30764
stoor	30763
shiso	30761
ahole	30761
elope	30760
belle	30760
tiler	30758
pieta	30757
mossy	30757
route	30756
label	30755
cager	30754
astir	30750
sorgo	30748
towse	30748
beano	30747
walie	30747
deist	30745
bayer	30745
meson	30744
sinew	30742
soily	30741
rewet	30741
asyla	30736
abuse	30735
deary	30734
maror	30733
laver	30731
bason	30729
nanna	30729
apage	30728
toney	30725
grate	30724
sehri	30722
manat	30721
trace	30720
